stock_code,duration,profit_ratio,close_desceding_x,amount_desceding_x,amount_rising_count_bp,close_rising_count_s,close_rising_rate_s
110044.SH,1min,-0.0014,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0023,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0016,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0062,-0.005,0,1,2,-0.001
110044.SH,1min,0.002,-0.005,0,1,2,-0.001
110044.SH,1min,0.0122,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0008,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0007,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0046,-0.005,0,1,2,-0.001
110044.SH,1min,0.0006,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0032,-0.005,0,1,2,-0.001
110044.SH,1min,0.0023,-0.005,0,1,2,-0.001
110044.SH,1min,0.0023,-0.005,0,1,2,-0.001
110044.SH,1min,-0.003,-0.005,0,1,2,-0.001
110044.SH,1min,0.0017,-0.005,0,1,2,-0.001
110044.SH,1min,0.0039,-0.005,0,1,2,-0.001
110044.SH,1min,0.0007,-0.005,0,1,2,-0.001
110044.SH,1min,0.0008,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0035,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0011,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0013,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0026,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0056,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0018,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0045,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0052,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0041,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0022,-0.005,0,1,2,-0.001
110044.SH,1min,0.0049,-0.005,0,1,2,-0.001
110044.SH,1min,-0.018,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0065,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0023,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0049,-0.005,0,1,2,-0.001
110044.SH,1min,0.0005,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0009,-0.005,0,1,2,-0.001
110044.SH,1min,-0.003,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0085,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0024,-0.005,0,1,2,-0.001
110044.SH,1min,0.0052,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0025,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0031,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0001,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0039,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0376,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0046,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0034,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0047,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0077,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0085,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0056,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0066,-0.005,0,1,2,-0.001
110044.SH,1min,-0.015,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0112,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0028,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0063,-0.005,0,1,2,-0.001
110044.SH,1min,0.0065,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0045,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0088,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0023,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0042,-0.005,0,1,2,-0.001
110044.SH,1min,0.0071,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0022,-0.005,0,1,2,-0.001
110044.SH,1min,0.0001,-0.005,0,1,2,-0.001
110044.SH,1min,0.0014,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0013,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0036,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0025,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0014,-0.005,0,1,2,-0.001
110044.SH,1min,-0.003,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0017,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0005,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0028,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0047,-0.005,0,1,2,-0.001
110044.SH,1min,0.004,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0186,-0.005,0,1,2,-0.001
110044.SH,1min,0.0031,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0047,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0036,-0.005,0,1,2,-0.001
110044.SH,1min,0.0103,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0019,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0021,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0023,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0004,-0.005,0,1,2,-0.001
110044.SH,1min,0.0008,-0.005,0,1,2,-0.001
110044.SH,1min,0.0002,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0015,-0.005,0,1,2,-0.001
110044.SH,1min,0.0011,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0047,-0.005,0,1,2,-0.001
110044.SH,1min,0.0097,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0042,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0046,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0016,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0025,-0.005,0,1,2,-0.001
110044.SH,1min,0.0042,-0.005,0,1,2,-0.001
110044.SH,1min,0.0002,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0025,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0028,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0058,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0048,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0039,-0.005,0,1,2,-0.001
110044.SH,1min,0.0004,-0.005,0,1,2,-0.001
110044.SH,1min,-0.006,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0011,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0114,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0064,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0257,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0096,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0014,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0081,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0011,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0018,-0.005,0,1,2,-0.001
110044.SH,1min,0.0061,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0074,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0085,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0114,-0.005,0,1,2,-0.001
110044.SH,1min,0.0008,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0018,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0059,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0041,-0.005,0,1,2,-0.001
110044.SH,1min,0.0075,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0055,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0018,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0085,-0.005,0,1,2,-0.001
110044.SH,1min,-0.01,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0027,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0083,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0026,-0.005,0,1,2,-0.001
110044.SH,1min,0.0095,-0.005,0,1,2,-0.001
110044.SH,1min,0.0008,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0025,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0034,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0037,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0019,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0006,-0.005,0,1,2,-0.001
110044.SH,1min,-0.002,-0.005,0,1,2,-0.001
110044.SH,1min,0.0107,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0076,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0045,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0037,-0.005,0,1,2,-0.001
110044.SH,1min,0.0008,-0.005,0,1,2,-0.001
110044.SH,1min,0.0021,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0092,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0035,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0085,-0.005,0,1,2,-0.001
110044.SH,1min,0.023,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0046,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0034,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0053,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0033,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0031,-0.005,0,1,2,-0.001
110044.SH,1min,0.0017,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0011,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0032,-0.005,0,1,2,-0.001
110044.SH,1min,-0.001,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0022,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0047,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0012,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0007,-0.005,0,1,2,-0.001
110044.SH,1min,-0.002,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0029,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0081,-0.005,0,1,2,-0.001
110044.SH,1min,-0.003,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0301,-0.005,0,1,2,-0.001
110044.SH,1min,0.0031,-0.005,0,1,2,-0.001
110044.SH,1min,0.0268,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0016,-0.005,0,1,2,-0.001
110044.SH,1min,0.0174,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0021,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0026,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0453,-0.005,0,1,2,-0.001
110044.SH,1min,0.0035,-0.005,0,1,2,-0.001
110044.SH,1min,0.0026,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0008,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0017,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0154,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0224,-0.005,0,1,2,-0.001
110044.SH,1min,-0.004,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0011,-0.005,0,1,2,-0.001
110044.SH,1min,0.0153,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0048,-0.005,0,1,2,-0.001
110044.SH,1min,-0.003,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0065,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0019,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0041,-0.005,0,1,2,-0.001
110044.SH,1min,0.0015,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0033,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0008,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0018,-0.005,0,1,2,-0.001
110044.SH,1min,0.016,-0.005,0,1,2,-0.001
110044.SH,1min,-0.006,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0065,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0031,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0005,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0031,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0048,-0.005,0,1,2,-0.001
110044.SH,1min,-0.0014,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0016,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0062,-0.005,2,1,2,-0.001
110044.SH,1min,0.002,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0008,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0007,-0.005,2,1,2,-0.001
110044.SH,1min,0.0023,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0035,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0045,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0041,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0049,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0031,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0001,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0085,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0088,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0013,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0036,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0014,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0047,-0.005,2,1,2,-0.001
110044.SH,1min,0.0002,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0025,-0.005,2,1,2,-0.001
110044.SH,1min,0.0004,-0.005,2,1,2,-0.001
110044.SH,1min,-0.006,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0011,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0064,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0018,-0.005,2,1,2,-0.001
110044.SH,1min,0.0061,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0041,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0055,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0018,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0035,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0006,-0.005,2,1,2,-0.001
110044.SH,1min,-0.002,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0037,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0092,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0035,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0085,-0.005,2,1,2,-0.001
110044.SH,1min,0.023,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0046,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0034,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0031,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0011,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0022,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0012,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0016,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0453,-0.005,2,1,2,-0.001
110044.SH,1min,0.0035,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0008,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0154,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0224,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0041,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0008,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0048,-0.005,2,1,2,-0.001
